header-dhcprange,end_address*,_new_end_address,start_address*,_new_start_address,always_update_dns,boot_file,boot_server,broadcast_address,comment,ddns_domainname,deny_all_clients,deny_bootp,disabled,domain_name,domain_name_servers,enable_ddns,enable_pxe_lease_time,enable_threshold_email_warnings,enable_threshold_snmp_warnings,enable_thresholds,exclusion_ranges,failover_association,fingerprint_filter_rules,generate_hostname,ignore_client_requested_options,known_clients_option,lease_scavenge_time,lease_time,mac_filter_rules,member,ms_server,_new_ms_server,nac_filter_rules,name,network_view,next_server,option_filter_rules,option_logic_filters,pxe_lease_time,range_high_water_mark,range_high_water_mark_reset,range_low_water_mark,range_low_water_mark_reset,recycle_leases,relay_agent_filter_rules,routers,server_association_type,threshold_email_addresses,unknown_clients_option,update_dns_on_lease_renewal,EA-Site,EA-Site Code,EA-ex,OPTION-11,OPTION-150,OPTION-176,OPTION-242,OPTION-49,OPTION-66,OPTION-67,EA-parent_network
dhcprange,172.16.48.254,,172.16.48.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.48.0
dhcprange,172.16.49.254,,172.16.49.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.49.0
dhcprange,172.16.50.245,,172.16.50.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.50.0
dhcprange,172.16.51.254,,172.16.51.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.51.0
dhcprange,172.16.242.253,,172.16.240.80,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,"172.16.240.80-172.16.240.115,172.16.241.1-172.16.241.79,172.16.242.1-172.16.242.79",PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.240.0
dhcprange,172.16.52.254,,172.16.52.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.52.0
dhcprange,172.16.53.254,,172.16.53.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.53.0
dhcprange,172.16.54.254,,172.16.54.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.54.0
dhcprange,172.16.55.254,,172.16.55.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.55.0
dhcprange,172.16.56.254,,172.16.56.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.56.0
dhcprange,172.16.57.254,,172.16.57.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,,172.16.57.0
dhcprange,172.16.58.239,,172.16.58.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,"172.16.58.31-172.16.58.32,172.16.58.41-172.16.58.43",PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.58.0
dhcprange,172.16.59.254,,172.16.59.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.59.0
dhcprange,172.16.60.254,,172.16.60.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,,172.16.60.0
dhcprange,172.16.61.254,,172.16.61.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.61.0
dhcprange,172.16.62.254,,172.16.62.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.62.0
dhcprange,172.16.63.254,,172.16.63.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,,172.16.63.0
dhcprange,172.16.244.200,,172.16.244.100,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.244.0
dhcprange,172.16.245.254,,172.16.245.30,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,,172.16.245.0
dhcprange,172.16.80.126,,172.16.80.21,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.80.0
dhcprange,172.16.84.240,,172.16.84.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.84.0
dhcprange,172.16.92.254,,172.16.92.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.92.0
dhcprange,172.16.93.254,,172.16.93.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.93.0
dhcprange,172.16.94.254,,172.16.94.31,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.16.94.0
dhcprange,172.30.92.240,,172.30.92.21,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.30.92.0
dhcprange,172.30.94.240,,172.30.94.21,,FALSE,,,,,,FALSE,,FALSE,,,,,FALSE,FALSE,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,,172.30.94.0
